"Designator","Mid X","Mid Y","Layer","Rotation"
"BZ1","92.7500","-110.0000","Top","0.00"
"C1","109.5000","-110.5000","Top","0.00"
"C2","114.5000","-107.5000","Top","90.00"
"C3","99.0000","-106.2500","Top","90.00"
"C4","99.0000","-112.5000","Top","90.00"
"C5","104.5000","-113.2500","Top","0.00"
"C6","108.5000","-113.2500","Top","0.00"
"C7","79.5000","-92.0000","Top","0.00"
"C8","95.5000","-97.2500","Top","0.00"
"C9","105.7500","-97.2500","Top","0.00"
"C10","109.5000","-85.5000","Top","0.00"
"C11","94.5000","-80.7500","Top","0.00"
"C12","109.5000","-82.5000","Top","0.00"
"C13","91.0000","-81.5000","Top","0.00"
"C14","92.2500","-92.5000","Top","90.00"
"C15","89.0000","-92.5000","Top","0.00"
"C16","102.2500","-97.2500","Top","0.00"
"C17","92.2500","-89.2500","Top","90.00"
"C18","88.2500","-89.2500","Top","90.00"
"C19","90.2500","-89.2500","Top","90.00"
"C20","95.5000","-101.0000","Top","90.00"
"C21","104.5000","-101.0000","Top","90.00"
"C22","88.0000","-98.0000","Top","0.00"
"C23","88.0000","-101.7500","Top","0.00"
"C24","109.0000","-97.0000","Top","0.00"
"C25","110.0000","-92.5000","Top","0.00"
"D1","115.2500","-120.5000","Top","0.00"
"D2","121.0000","-119.5000","Top","90.00"
"D3","79.7500","-94.2500","Top","0.00"
"D4","112.5000","-77.5000","Top","0.00"
"D5","116.5000","-77.5000","Top","0.00"
"D6","84.5000","-121.0000","Top","0.00"
"J2","119.7500","-93.2500","Top","90.00"
"J3","91.5000","-120.5000","Top","0.00"
"J4","79.5000","-107.5000","Top","270.00"
"J5","99.5000","-120.5000","Top","0.00"
"J6","120.5000","-106.5000","Top","90.00"
"L1","103.0000","-109.0000","Top","180.00"
"Q1","85.0000","-104.5000","Top","0.00"
"R1","79.5000","-88.0000","Top","0.00"
"R2","79.5000","-90.0000","Top","0.00"
"R3","82.0000","-78.0000","Top","0.00"
"R4","100.0000","-103.5000","Top","0.00"
"R5","88.0000","-100.0000","Top","0.00"
"R6","91.5000","-96.7500","Top","0.00"
"R7","91.5000","-99.0000","Top","0.00"
"R8","112.5000","-97.0000","Top","0.00"
"R9","109.0000","-95.0000","Top","0.00"
"R10","112.5000","-95.0000","Top","0.00"
"R11","120.5000","-78.0000","Top","0.00"
"R12","120.5000","-80.5000","Top","0.00"
"R13","112.5000","-80.0000","Top","0.00"
"R14","116.5000","-80.0000","Top","0.00"
"R15","85.0000","-107.5000","Top","0.00"
"R16","85.0000","-109.2500","Top","0.00"
"R17","84.7500","-111.2500","Top","0.00"
"U1","109.5000","-107.5000","Top","180.00"
"U2","107.5000","-119.0000","Top","90.00"
"U3","100.0000","-88.5000","Top","0.00"
"U4","100.0000","-100.0000","Top","0.00"
"U5","84.0000","-100.0000","Top","0.00"
"U6","112.0000","-102.5000","Top","0.00"
"U7","110.0000","-89.0000","Top","0.00"
"Y1","90.2500","-85.5000","Top","0.00"
